iter , error
1 , 0.08536916325456277
2 , 0.03966223937933907
3 , 0.02564618190714131
4 , 0.017890782569244323
5 , 0.013270694514373908
6 , 0.010467259174751397
7 , 0.008602127219511025
8 , 0.007328341497906659
9 , 0.006381734690707643
10 , 0.005553491234812775
11 , 0.004701061458296442
12 , 0.003994573408684357
13 , 0.0034362468133450016
14 , 0.003111748797632289
15 , 0.002833050969170076
16 , 0.0026653940483762238
17 , 0.002563278162061603
18 , 0.00276510088001853
19 , 0.0023940919396121156
20 , 0.0020229441637061984
21 , 0.0018513112123138104
22 , 0.0017438734564486505
23 , 0.001648210147100026
24 , 0.0015855750589638894
25 , 0.0015190856190699007
26 , 0.0014787429483296326
27 , 0.001431183138040275
28 , 0.0014024240533272415
29 , 0.001367294647382446
30 , 0.0013456542927661151
31 , 0.0013186768337920766
32 , 0.0013030267802981448
33 , 0.001281242410793416
34 , 0.00127065945188804
35 , 0.0012522546797667739
36 , 0.0012464506635586866
37 , 0.0012305636940703028
38 , 0.0012309935004776841
