iter , error
1 , 0.09953334222722406
2 , 0.0506073617645977
3 , 0.030701020873127916
4 , 0.01889161838357638
5 , 0.012415531086534948
6 , 0.008754298930472436
7 , 0.006783735365416072
8 , 0.005499749048159003
9 , 0.00477372056538736
10 , 0.004192282005468512
11 , 0.0036708634843503635
12 , 0.0034190569719702705
13 , 0.003075372639912872
14 , 0.002952137051516866
15 , 0.0028385619288791566
16 , 0.0028224950576184577
17 , 0.002719000262397752
18 , 0.0026613568130674286
19 , 0.0026352863511851046
20 , 0.0025983150182531845
21 , 0.002593216549189744
22 , 0.0025646008024803662
23 , 0.0025497817412858123
24 , 0.0025203558239565173
25 , 0.0025015191592341114
26 , 0.002470453698016713
27 , 0.00244675855724566
28 , 0.0023959721593065763
29 , 0.002319083321704226
30 , 0.0021475965601467596
31 , 0.0019273750279906658
32 , 0.0017988922757769404
33 , 0.001740932648280282
34 , 0.0016911899977192276
35 , 0.001666330124470458
36 , 0.0016405289452700584
37 , 0.0016284628464412108
38 , 0.0016118193697768355
39 , 0.0016083378830291622
40 , 0.0015947032409071224
41 , 0.0015966747345267129
42 , 0.0015806373981667246
43 , 0.0015813513668352978
